Repositório,Número de Estrelas,Último Commit,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer,AplicacaoWeb
Hazrat-Ali9/Job-Portal-Frontend,12,2025-07-14T09:02:33Z,true,false,false,false,false,false,false,Sim
Hazrat-Ali9/Doctor-Frontend,11,2025-07-17T05:32:42Z,true,false,false,false,true,false,false,Sim
Hazrat-Ali9/E-Learning-Frontend,11,2025-08-28T15:09:12Z,true,false,false,false,false,false,false,Sim
CoderBotOrg/frontend,10,2025-02-23T18:20:11Z,true,false,false,false,false,false,false,Sim
oslokommune/bydelsfakta,10,2025-09-26T10:49:50Z,true,false,false,false,false,false,false,Sim
nicklima/strapi-blog-frontend-next,10,2025-09-01T15:32:51Z,true,false,false,false,false,false,false,Sim
Hazrat-Ali9/Frontend-Twitter,10,2025-06-05T09:34:59Z,true,false,false,false,false,false,false,Sim
dhis2/app-hub,9,2025-08-29T07:30:33Z,true,false,false,false,false,false,false,Sim
FinWave-App/FinWave-Frontend,9,2025-01-16T19:10:35Z,true,false,true,false,false,false,false,Sim
saleor/saleor-dashboard,941,2025-09-26T14:17:54Z,true,false,false,false,true,false,false,Sim
s-shemmee/GhibliGaze,15,2025-02-11T21:59:22Z,true,false,false,false,false,false,false,Sim
centreon/centreon,134,2025-09-26T16:01:08Z,false,false,false,false,true,false,false,Sim
tomhillmeyer/companion-dashboard,15,2025-09-16T23:38:20Z,true,false,false,false,false,false,false,Sim
Yorubaname/yorubaname-dashboard,14,2025-02-24T18:44:34Z,true,false,false,false,false,false,false,Sim
atharva-aak/NutriScan,14,2025-05-17T20:41:03Z,true,false,false,false,false,false,false,Sim
czoczo/casavue,10,2025-07-20T18:11:51Z,true,false,false,false,false,false,false,Sim
utmmcss/deerhacks,9,2024-11-14T22:43:07Z,true,false,false,false,false,false,false,Sim
Stichting-CROW/dashboarddeelmobiliteit-app,8,2025-08-12T10:32:41Z,true,false,false,false,false,false,false,Sim
minnukota381/Social-Media-Dashboard-UI-React,7,2025-09-27T09:19:09Z,true,false,false,false,false,false,false,Sim
VictorMoni/PocketWise,7,2025-08-06T20:50:28Z,true,false,false,false,false,false,false,Sim
nadakhader04/dashbord-react-js,6,2025-03-18T22:43:15Z,true,false,false,false,false,false,false,Sim
rotaractgalgotias/admin-dashboard,6,2025-07-06T13:41:52Z,true,false,false,false,false,false,false,Sim
yashksaini-coder/LC-Dashboard,5,2025-07-04T10:16:50Z,true,false,false,false,false,false,false,Sim
manju1807/TeamPulse,5,2024-09-30T18:10:43Z,true,false,false,false,false,false,false,Sim
Aadarsh-max/Expense-Tracker,5,2025-09-26T15:54:14Z,true,false,false,false,false,false,false,Sim
naumanch969/swiftcart-dashboard,4,2025-05-03T12:19:06Z,true,false,false,false,false,false,false,Sim
Guten-Morgen1302/Social-Media-Dashboard,4,2025-03-06T04:52:38Z,true,false,false,false,false,false,false,Sim
waynesutton/todohosted,4,2025-06-12T12:40:26Z,true,false,false,false,false,false,false,Sim
UchithmaSenevirathne/POS-App-Spring-Boot-and-React,4,2025-03-21T13:58:46Z,true,false,false,false,false,false,false,Sim
pelican-dev/panel,1600,2025-09-28T19:17:02Z,true,false,false,false,false,false,false,Sim
julxxy/xxl-job-panel-r3,193,2025-08-20T03:06:12Z,true,false,false,false,false,false,false,Sim
SmartBase-SK/django-smartbase-admin,63,2025-09-25T12:26:37Z,true,false,false,false,false,false,false,Sim
soheilkhaledabdi/shop-admin-panel,56,2024-10-30T19:25:43Z,true,false,false,false,false,false,false,Sim
bitcart/bitcart-admin,34,2025-09-21T20:59:52Z,true,false,false,false,false,false,false,Sim
morpheusadam/LaravelCommerce,23,2024-12-23T17:53:27Z,true,false,false,false,false,false,false,Sim
bidhandhakal/E-Commerce,20,2025-07-11T11:37:33Z,true,false,false,false,false,false,false,Sim
amizayi/admin-panel,14,2025-02-21T16:18:47Z,true,false,false,false,false,false,false,Sim
basementdevs/events-admin,14,2025-06-03T01:30:00Z,true,false,false,false,false,false,false,Sim
Hazrat-Ali9/PC-Builder,13,2025-07-20T10:20:00Z,true,false,false,false,false,false,false,Sim
alxnklmn/vpn-admin-panel,11,2025-09-07T17:05:57Z,false,false,true,false,false,false,false,Sim
nadeemsangrasi/E-comerce-with-Admin-pannel,10,2024-11-17T14:52:20Z,true,false,false,false,false,false,false,Sim
MohamedKeise/xirfadzone-admin-panel,10,2025-08-22T19:51:16Z,true,false,false,false,false,false,false,Sim
faridvatani/crispy-admin-panel,10,2024-10-16T17:25:05Z,true,false,false,false,false,false,false,Sim
fares-ahmedd/roomRover,10,2024-12-30T16:27:02Z,true,false,false,false,false,false,false,Sim
umarprogrammer19/Furniro-admin-panel,9,2025-02-12T18:19:35Z,true,false,false,false,false,false,false,Sim
MehhdiMarzban/next-blog,9,2025-01-12T17:28:45Z,true,false,false,false,false,false,false,Sim
cloudreve/cloudreve,25040,2025-09-27T14:04:38Z,true,false,false,false,true,false,false,Sim
microrealestate/microrealestate,890,2025-09-12T17:52:52Z,true,false,false,false,false,false,false,Sim
antdv-pro/antdv-pro,822,2025-09-25T01:45:23Z,true,false,false,false,false,false,false,Sim
Jexactyl/Jexactyl,478,2025-09-16T15:40:56Z,true,false,false,false,false,false,false,Sim
fajarghifar/inventory-management-system,438,2025-06-11T03:28:46Z,true,false,false,false,false,false,false,Sim
Alanaktion/phproject,396,2025-08-20T19:41:24Z,true,false,false,false,false,false,false,Sim
mamun724682/Inventory-Management-System-Laravel-SPA,247,2024-11-09T13:57:51Z,true,false,false,false,false,false,false,Sim
MusheAbdulHakim/Laravel-Smarthr,224,2024-12-12T04:12:41Z,true,false,false,false,false,false,false,Sim
duxweb/duxcms,192,2024-09-30T03:14:49Z,true,false,false,false,false,false,false,Sim
Coderberg/ResidenceCMS,175,2025-03-01T13:43:46Z,true,false,false,false,false,false,false,Sim
SMEWebify/WebErpMesv2,174,2025-09-26T14:36:21Z,true,false,false,false,false,false,false,Sim
PanamaHat123/Ruoyi-Nest-React,134,2024-10-08T02:51:20Z,true,false,false,false,false,false,false,Sim
chandachewe10/loan-management-system,121,2025-09-06T22:41:18Z,true,false,false,false,false,false,false,Sim
horia141/thrive,121,2025-09-28T19:16:49Z,true,false,false,false,false,false,false,Sim
seymoe/QuillCMS,106,2025-06-07T08:14:25Z,true,false,false,false,false,false,false,Sim
ustaxcourt/ef-cms,99,2025-09-26T19:42:31Z,true,false,false,false,false,false,false,Sim
YasserElgammal/blog-cms,84,2025-04-10T15:04:54Z,true,false,false,false,false,false,false,Sim
nurRiyad/snacks-management,7,2025-07-11T05:48:44Z,true,false,false,false,false,false,false,Sim
natiq-foundation/control-frontend,6,2025-02-06T14:24:51Z,true,false,false,false,false,false,false,Sim
TurboServlet/turbonet-polar-frontend,5,2025-06-23T09:32:00Z,true,false,false,false,false,false,false,Sim
robusta-dev/robusta,2870,2025-09-16T12:41:35Z,false,false,true,false,false,false,false,Sim
cybertec-postgresql/pgwatch,503,2025-09-24T12:46:45Z,true,false,false,false,false,false,false,Sim
meceware/wapy.dev,442,2025-08-24T10:11:35Z,true,false,false,false,false,false,false,Sim
larscom/gitlab-ci-dashboard,57,2025-09-28T13:33:50Z,true,false,false,false,false,false,false,Sim
Krishna18062005/FactoryFlowAI-NextJS,47,2025-03-23T06:43:06Z,true,false,false,false,false,false,false,Sim
petaki/satellite,43,2025-03-14T17:19:39Z,true,false,false,false,false,false,false,Sim
pyrohost/status,28,2025-01-07T17:31:42Z,true,false,false,false,false,false,false,Sim
Jonathan-Hofmann/ficsit-remote-monitoring-dasboard,19,2024-11-27T18:30:27Z,true,false,false,false,false,false,false,Sim
TAIJULAMAN/EcommerceWeb-AdminSide,15,2024-10-18T21:09:03Z,true,false,false,false,false,false,false,Sim
sioaeko/StatusWatch,6,2025-01-19T13:03:05Z,true,false,false,false,false,false,false,Sim
helwyza-f/dashboard-monitoring,5,2024-12-28T04:22:02Z,true,false,false,false,false,false,false,Sim
boussaidev/livekit-dashboard,5,2025-02-10T19:30:10Z,true,false,false,false,false,false,false,Sim
MangoLion/aihorde-monitor,5,2024-12-21T20:58:27Z,true,false,false,false,false,false,false,Sim
machinelearningprodigy/Finance.Pro,5,2025-02-22T10:38:01Z,true,false,false,false,false,false,false,Sim
Human-Centered-Optimization-Lab/pymoo-dashboard,4,2025-09-05T18:05:23Z,true,false,false,false,false,false,false,Sim
agungdwiprasetyo/task-queue-worker-dashboard,4,2024-10-22T08:12:52Z,true,false,false,false,false,false,false,Sim
Spiderpig86/spottr,54,2025-07-23T05:46:31Z,true,false,false,false,false,false,false,Sim
mustafacagri/next-stripe-supabase-tailwind-typescript,37,2024-10-28T10:31:17Z,true,false,false,false,false,false,false,Sim
StefanErrorerko/AnalyticalDashboardFlyingEtiquette,25,2025-01-25T16:40:18Z,true,false,false,false,false,false,false,Sim
sidsurakanti/finance-analytics-app,22,2025-07-03T04:07:33Z,true,false,false,false,false,false,false,Sim
