Repositório,Número de Estrelas,Último Commit,AXE,Pa11y,WAVE,AChecker,Lighthouse,Asqatasun,HTML_CodeSniffer
gaureshpai/hseruag,16,2025-09-22T14:38:29Z,true,false,false,false,false,false,false
Hikmahx/sneakers-ecommerce-website,13,2025-07-13T08:00:14Z,true,false,false,false,false,false,false
miguelrodriguezp99/easytype,13,2025-09-16T06:27:52Z,true,false,false,false,false,false,false
katie-gu/Resume-to-Job,13,2025-05-20T16:51:50Z,true,false,false,false,false,false,false
Abufahmi/CinamaMovies,12,2025-09-02T17:41:17Z,true,false,false,false,false,false,false
ChrisHAdams/application-healthcheck,11,2025-08-17T13:29:27Z,true,false,false,false,false,false,false
satheesh22g/Banking-Application,11,2025-02-21T10:32:03Z,true,false,false,false,false,false,false
MarouaneBenbetka/Real-Estate-Website,10,2025-01-15T21:29:30Z,true,false,false,false,false,false,false
screenshotone/takescreenshotapp,10,2025-09-23T05:08:35Z,true,false,false,false,false,false,false
Scoopika/web,9,2025-07-08T18:56:06Z,true,false,false,false,false,false,false
kanugurajesh/Anime-Website,9,2024-12-02T04:51:08Z,true,false,false,false,false,false,false
Neelachari/Med-Shoppee,9,2024-10-28T00:35:08Z,true,false,false,false,false,false,false
jillro/changemy.name,8,2025-06-10T08:42:55Z,true,false,false,false,false,false,false
CogitoNTNU/web-frontend,8,2025-09-21T13:03:13Z,true,false,false,false,false,false,false
Openpanel-dev/openpanel,4516,2025-09-26T01:09:02Z,true,false,false,false,true,false,false
radishes-music/radishes,1131,2025-09-24T15:45:24Z,true,false,false,false,true,false,false
dnnsoftware/Dnn.Platform,1094,2025-09-25T14:41:09Z,true,false,false,false,false,false,false
trustwallet/trust-web3-provider,860,2025-09-24T10:43:59Z,true,false,false,false,false,false,false
SonicCloudOrg/sonic-client-web,667,2025-07-06T21:20:50Z,true,false,false,false,false,false,false
girder/girder,447,2025-09-24T15:19:14Z,true,false,false,false,false,false,false
hiisea/elux,291,2025-06-28T18:27:10Z,true,false,false,false,false,false,false
subins2000/WebDrop,286,2025-09-18T05:27:36Z,true,false,false,false,false,false,false
LiveSplit/LiveSplitOne,272,2025-09-23T08:27:00Z,true,false,false,false,false,false,false
dhanji/sitebricks,249,2025-08-08T01:59:58Z,true,false,false,false,false,false,false
durasj/webamp-desktop,246,2025-09-23T10:24:34Z,true,false,false,false,true,false,false
geekeren/Magpie-LuckyDraw,243,2025-06-18T09:16:39Z,true,false,false,false,false,false,false
